CE,FA_C,FA_DB,FA_iso,sn_y,norm_Intensity,norm_Intensity_var
67,14,0,0,1,1.36103145,0.020034605
68,14,0,0,1,1.150656516,0.015893969
69,14,0,0,1,0.947652839,0.026887404
70,14,0,0,1,0.822474613,0.027068396
11,16,0,0,1,4.42652838,0.062320428
12,16,0,0,1,5.75167498,0.206393056
13,16,0,0,1,8.03031789,0.229749283
14,16,0,0,1,10.52812955,0.465381644
15,16,0,0,1,14.11365705,0.293626145
16,16,0,0,1,18.6496115,1.90555122
17,16,0,0,1,24.3901207,2.687912982
18,16,0,0,1,29.3398745,1.403538547
19,16,0,0,1,35.880962,2.155176947
20,16,0,0,1,41.6370455,4.487198712
21,16,0,0,1,47.7711817,4.178129927
22,16,0,0,1,51.8046788,6.119802313
23,16,0,0,1,56.6588877,10.90121376
24,16,0,0,1,62.7187594,5.558568321
25,16,0,0,1,65.5393146,6.943009422
26,16,0,0,1,63.9584281,18.65897157
27,16,0,0,1,66.5318406,8.578818316
28,16,0,0,1,63.6671195,15.49622113
29,16,0,0,1,66.0015056,15.28991303
30,16,0,0,1,62.492568,20.66031573
31,16,0,0,1,64.3645341,15.80865621
32,16,0,0,1,63.5607812,12.28210974
33,16,0,0,1,62.1625404,14.16599021
34,16,0,0,1,59.1138056,5.336403047
35,16,0,0,1,58.165094,18.02190098
36,16,0,0,1,55.7754516,9.162858563
37,16,0,0,1,54.1601377,5.247151685
38,16,0,0,1,51.5363104,12.98582611
39,16,0,0,1,50.6219102,10.77874075
40,16,0,0,1,47.3609286,1.745877394
41,16,0,0,1,45.4753054,9.269009164
42,16,0,0,1,42.1463024,2.6401565
43,16,0,0,1,39.3848769,3.239985728
44,16,0,0,1,35.2579346,3.216103711
45,16,0,0,1,33.5629009,2.539774321
46,16,0,0,1,30.5153387,1.747283353
47,16,0,0,1,28.454639,2.364860213
48,16,0,0,1,24.5130826,2.004222591
49,16,0,0,1,22.4809852,1.326502907
